ID,Reviews,Review Analysis
11,excellent  pin pack device with mega discount in 1111 1111 seller is honest daraz has become a life patner thanks daraz thanks tecno pakistan mobil is little bit slow camera result average seller is not cooperating but product received is well packed and as per mentioned specifications tecno spark 10 pro  original mobile pta approved sealed pack box pack with all accessories thank and love u daraz and seller  mobil is little bit slow camera result average seller is not cooperating but product received is well packed and as per mentioned specifications at least i recieved my phone its awesome phone features also best camera   battery life too good smart and weight less phone  recommended after using for few days i found this phone very recommended under such price     100       13             1111                                  very good mobile phone  tecno spark 10 thanks daraz bohat acha mobile hai or bilkul thek aya hai ot time pe aya hai theens daraz it is my 1st experience for purchase mobile online and im glad with that experience i received same what i ordered it is highly recommend by me 1010 1111 same as shown very beautiful handset will appreciate tecno for design so far working fine mobile is genuine but not used yet but look wise awesome very beautiful very elegant just like a wow  received before time nice phone in this price range,Positive
12,totally satisfied with my purchase i got good value for money and will definitely buy from them again the phone is in perfect condition and is a genuine product 1111,Positive
13,original set and pta approved set hai boht hi aala mobile hai mat forest green color hai actual price of mobile was rs45000 but i ordered during daraz 1111 sale and i got in rs42000 by availing two discount vouchers daraz ny mobile buy karny ki bhi tension dur kar di hai ghar bethy original mobile wo bhi market sey low price mein thanks darazpk 1111 jitni tareef kru utni kam hy mashallah aj tak ka sab se behtareen or aala qism ka mobile hy meri review hy 1010 mashallah so happy  product quality is amazing and reached safe at doorstep seller is really cooperative and friendly in communication recieved product as it is reflected on daraz original product 100 gebuin however around rs2000 costly than physical market prices should be aligned to the market rate to eradicate price manipulation overall satisfied with product quality but not satisfied with delivery and product price delivery little bit late but all ok pta approved 1 year warranty non active phone im not happy with such a phatic service by daraz if you cant bear workload dont put silly ideas like 1111 1111 original mobile and also reasonable price thank daraz and seller very good and amazing mobile excellent seller and always good from daraz product quality is amazing and reached safe at doorstep seller is really cooperative and friendly in communication recieved product as it is reflected on daraz original product 100 gebuin however around rs2000 costly than physical market prices should be aligned to the market rate to eradicate price manipulation overall satisfied with product quality but not satisfied with delivery and product price order k 1 week k bad parcel dispatch kia tha very slow service but product is fine and original pta approved very good experiencedelivered in timegenuine product by vivi flagship store very best mobile no repack and no damage product very best first time i ordered this much amount of order from daraz and alhamdolillah it went well recommend best phone masha allah good quality phone timely delivered only thing is i asked for purple but got in green otherwise phone is good very nice phone in this price range the only issue is that hand free not found in box,Positive
14,very very beautiful mobile i very happy price b okkthanks daraz and seller thanku awesome mobile recieved on time very fast processor lovely color seller are very cooperative totally satisfied  thank you daraz kam price m achi chiz saller bht acha h mobile bht acha h jaisa dikha waisa paya very very beautiful mobile i very happy price b okkthanks daraz and seller thanku its fantastic very beautiful mobile and seller is very honest mara purana phone ka camera ka result harab ha lakin jasi cheez dikhi wasi hi mili jasi products dikhayi wasi hi ayi nyc bro thanks daraz and seller use kr ka chk kiya ha boht acha ha mbl phone delivery time hui ha colour boht pyra ha thanks seller wow what a phone im surprised when i saw this phone infinix has no competetion with spark neo7 ultra its an amazing phone very impressive and build quality in this price range top class specialy camera believe u will be very happy to buy this phone dnt think read my coment and order it  thanks for comfortablr and safe service it was good experience seller is also cooperative recommended person i ordered blue colour received yellow colourbaki phone to ok hai market price sy kafi sasta mila1111 sale sy pin pack hi bahjathank u darazthank u seller  the mobile is exact as shown in advertisement received a little bit late but that was the problem of tcs im satisfied thanks seller thanks daraz im vhappy bohut acha mobile ha jesa dikhaya ha wessa hi ha im satisfiedthanks draz thanks dealer superb excellent beautiful mobile received great feel seller is responsive and cooperative thankyou seller and daraz quick and safe delivery product is ok,Positive
15,very fast delivery and origional sealed pack mobile i am satisfied   2023        not recommended not a good set camera not goodtouch very poor performance also poor charger not included in box be careful allhamdullilah  very good mobile recieved on time good features but only concern is warranty because seller is not properly guiding about that   2023        very nice mobile with fast delivery by daraz buhat acha experience hy amazing choice of phonenin this price range currently bcz i used note 20 ultra before this and now using this a14 not big differencebof performance in this price phone was well packed and new untouched so dont hesitate to buy samsung a14 6128 very satisfied with the delivery time and packaging this was a gift to my mother and she is really happy it is a good phone in the price range and delivery was very fast thank you first experience to purchase cellphone at this platform i am satisfied with the seller and also delivery service as i just received within 2 days willing to purchase more in future  quality is good but the saller didnt send changing adopter only send cable which is out of mind that why he send mobile without charging adopterthe packing and only cable video attached delivery on time full packed and safe 1010 bhot achi thi ap logo ki sarvice or shukariya ap ka k ap ne time pr apna order humhy diya awesome set and outstanding delivery service,Positive
16,same as shown and works well four stars because other sellers on daraz are selling it at rs200 less which i found out after i placed the order otherwise the phone is working fine and the seller was quick in responding and sent the correct colour thank you so much daraz and seller mobile boht pyara hai aur jo color oder kia wohi hai thanks daraz and seller  masha allah bahout khubsorat hi jaisa dekha seam waisa hi mila mashallah jo dikhaya ha wohi byja ha so nice mobile with box delivery zara late hoi baki mobile box pack tha sir mujeh bs ye baat achi nahi lagi k mobile ki asal qeemat to yehi hai jitne me aap logo ne mobile dia mgr aap logo ne 5999 ko cut kr k ye btane ki jhoti koshish ki k hum discount de rahe hen mgr aisa bilkul nahi hai this is very good thanks you nice ha yar same as shown and works well four stars because other sellers on daraz are selling it at rs200 less which i found out after i placed the order otherwise the phone is working fine and the seller was quick in responding and sent the correct colour mashallah aone keep it up very fast delivery achha mobile h thnx excellent mobile and package was also good nice mobile value for money bht achi hai mob complete satisfy good device and good seller good service same color without hand free  charger original performance allah kary achi ho gi thanks for good commitment good luck ,Positive
17,it was an absolutely amazing experience ordered on the 17thoctober night and got it around 01pm afternoon on 18thoctober in less than 12 hours as far as the product is concerned samsung is always a great experience as i have been a user of it since the beginning of the android era back in 2010 thanks daraz and seller for extreme level service daraz is a highly recommended ecommerce platform of pakistan from 2016 to till date never disappointed me with services perfect packing timely delivery original product 100 authentic excellent experience highly recommended for those who afraid to buy costly items online  thanx seller n daraz excellent  genuine product  thanks seller  thanks daraz  awesome mobile excellent service by                                   i am very happy the phone is great and delivered within 2 days thanks orginal stuff satisfied genuine sealed product warranty started after i started using it 1st very good online experience on mobile always check authentic brand verified from daraz very satisfied mobile is very good thnku seller n daraz overall very satisfied with the a24 its quite responsive and has worked flawlessly thus far it is pta approved and arrived in fully packed and sealed condition genuine product with warranty 1111 received good mobile received package it was great but didnt receive a charger in box pack best product best seller best timing of delivery with best price thank you seller you delivered it with in 12 hours hats off,Positive
18,original product very good price seal packed very good packing arrived safely highly recommended parcel received safely and on time  original phone and its working very good honest seller thank you so much and will order again in future  thank you daraz  highly recommend thank you for delivering me the best smart android phone in pakistan daraz is very good for shopping from others shopping applicationsagain thank you nice product nice seller service nice delivery service thanks u buddy thanks daraz amazing experience  thank you for delivering me the best smart android phone in pakistan daraz is very good for shopping from others shopping applicationsagain thank you outclass mobile  prefect highly recommended good original box packed ordered jazz digit 4g e2 pro alhumdulillah best experience with seller best price  best pakaging  best rider delivery on time jazakallah its great sorry cant upload picture but its amazing he is happy to have this cell fon saler k mobile buhat achay hotay hain packing b buhat achi hay but delivery buhat late hy fast delivery  and buhat achi cheez hai especially for non pta phones users  sir yeh mobile tu bht acha lekin battery timing bht km hai,Positive
19,awesome conditionvery light and tiny scratch91 percent battery,Positive
20,very good phone and colour combination is soo pretty and magic voice and every thing soo good daraz thanks so this phone achi chiz he mashallah bhot hi acha mobile he jo seller ne dekhaya tha pic mein wohi bheja hethanks daraz very nice boht zyada acha hy thank you so much nice product  recommended thanks daraz thanks seller hahah so cute meri finger jitna he well i wasnt expecting k itna chota phone bhe ho skta he overall best he excellent quality deliver in time thank u seller thank you draz this is my second parcel from same store mobile phone  is working very well  nice  good mini phone best voice quality very good product shokar he is dafa wohi bheja jomangwaya thalekin size bohat chota heheer jazakallah zabrdast bohat acha fone hai i like this mobile good product  good ,Positive
22,original product packing for logistics was excellent delivered on first promised day took 4 days to deliver a standard time price slight higher than company declared price and market price but its ok in case of 0installments thanks to the seller for the phone the same as i ordered the same color keeps your trust to people but guarantee card is missing i ordered one more same mobile with an other number received my package today good looking mobile in this price tag received just in one day looks good  very nice and good mobile in this price range and its my first experience very good experience honest seller the product was same as shown delivery little bit late but the seller 100 recommend original product and super fast delivery within 18 hours good seller thanks daraz same product jo btaya wohi delivere kia delivery service boht fast hy good xiaomi no 1 world choice nice fone big battery charging type c honi chahia thi seller responded on time sent earlier and received well 5 star for good experience received my package today good looking mobile in this price tag amazing parcel jesa dekhaya gya wesa hi aya zabardsht  fully certifies best box was damaged and not well packed set is working fine so far and product is original cant comment if its not repacked as not aware how to check original product pta approved before time recieved recomended,Positive
23,mobile was repacked there was no company seal when i confirmed from mi service center they confirm that mobile was repacked and was activated 11 days before purchasing date and this shop owner have assured me and other customers that mobile is not repacked and you will activate for the first time they lied and they are selling the product at increased price from official price but we have comprised on price that they will give us seal pack product but they scammed us and given us a repacked product which was activated before purchasing nice mobile delivery in time thanks for seller thank you draz and thank you seller bohat acha mobile hy or same colour jo order kia tha bohat acha seller hy over all very nice and good experience delivered phone same as shown in picture product delivered with in the time period given thanks daraz and seller for keeping our trust first experience for buying mobile phone from daraz good mobile phone with reasonable price seller is very cooperative recommended seller  like every time this time also the experience was very good and i received the delivery on time thank you daraz honest seller geniun product same as shown pta approved 1111 offer benefit very low price thanks daraz 5 stars original product and sealed bus delivery time zyada laga tha may be due to 11 11 its quite nice product and original and the delivery time was also affable very good mobile phone                       received sealed pack same as ordered satisfied original product at good price satisfied with the productthanks to draz,Positive
24,1  look  design phone is awesome in look very beautiful design feels like premium flagship 2 performance  satisfactory 3 battery  awesome 4 front camera average 5 back camera  good but not excellent 6 over all  value for money recommended this item                      i like the product its non active device and nicely company packed i always order from your store  thanks i received samecolor as i want i like the product its non active device and nicely company packed i always order from your store  thanks i received samecolor as i want                      product was delivered within two days alhamdolillah i received the same phone as they promised i was worried about the delivery of the product but the seller was very cooperative thankyou again i am unable to share my phones pictures because i captured them from my old phone and unfortunately its battery is dead the reason i bought this phone i would definitely recommend people to buy from alhamdolillah traders co they are trusted  from dera ismail khan trusted vendor responsive well packed received in a very good condition a very beautiful mobile phone havent used yet but hope it would work great thanks seller i give 5 star rating on this product the seller is very cooperative honest friendly and has fast delivery service give me the original product same as show in add thanks seller and thanks daraz so i ordered white color accidentally but mene seller ko chat me kh dia k mugha green chahiya and he said ok but seller ne bhi galti se white bhj dia jb mugha deliver hua to mene unse contact kia and unho ne mugha replace krna ki offer ki k ap is shop pr ja kr clr change krwa le amazing after sales and the product i got is genuine box packed bat acha mobhil phone ha good service ha aor fast delivery ha thank you draz and seller  seller i had a remarkable experience with this seller they were highly responsive and my order arrived in just 4 days faster than the estimated 1014 days the phone was brand new pta approved and wellpackaged phone impressive the phone is excellent it excels in camera quality touch sensitivity screen resolution and speed all receiving a perfect 1010 rating the only drawback is the 5000mah batterys faster drain honest seller and a good one seller should dispatch the phone on next working day or in 2 days mine was dispatched a bit later but thankfully leopard didnt take much time to deliver i collected it myself on saturday else could have been monday yar boht jaldi receive hwa boht acha mob mila boht he acha banda ha yar jis na bajha boht respect sa bat karta hain or reply bi fast ha or jo kuch kah doo bai kar deta boht trusted banda ha 3rd mob ha jo is bai sa order karwa raha hamesha original mila masha allah allah inhain kamiyab kara ameen orignal mobile phone pta approved non acctive fast delivery service thanks for seller and daraz online shopping got my phone i am already a fan of daraz satisfaction level infinity,Positive
25,zabrdast mobile hy original packing k sath markeet me final 39000 ka mil raha tha daraz se 36500 ka mila hy thnkew daraz thanks daraz original device in a low price and deliver safely on time keep it up best mobile good and save and fast delivery on time thank you selar thank you daraz buht hi acha experience raha market se buht hi discounted price pr buy kiya and also delivered within one day happy with purchase it was worth it the mobile phone is original and really good in performance and it is really recommended the only thing missing is that we didnt get any warranty card in the box product is made in pakistan however it is of good quality bohat hi aala phone hey  thanks to seller and daraz best product best seller service thanks draz best mobile good and save and fast delivery on time thank you selar thank you daraz very good product seller response is appreciated well packed and in time delivery thank u i want to thanks samsung very much for this smartphone its awesome and affordable genuine seller fast delivery same product delivered shown in pictures reccomended excellentgot the desired product as it was ordered zabrdst rate bhe acha servicr bhe achi it is very wonderful gadget,Positive
26,reciceved it in 3 days good mobile original no damage to the product original charger was also in the box recommended seller unbeatable price by seller very co operative seller but very late answering  overall 1010 thank you to daraz platform product is original and as per details given delivered well before the committed time good presentable packaging delivery is safe and soundrecommended the saller product is original and as per details given delivered well before the committed time good presentable packaging delivery is safe and soundrecommended the saller unbeatable price by seller very co operative seller but very late answering  overall 1010 thank you to daraz platform very good seller at daraz storei am satisfied with this order and recommend this seller very good and fast mobile thanks daraz very nice good quality mobile average price rom 128gb very good seller original product zaberdast 1010 bht acha mobile hye very nice product mgr charger kharab hye  bht zabardast mobile hye bht manasab qeemat perfect delivery time  reciceved it in 3 days good mobile original no damage to the product original charger was also in the box recommended seller i am very happy to receive my ordered mobile phone which has arrived safe and sound received as described thanks the delivery service and seller service both were terrible the seller didnt even respond to my msgs but the product is good,Positive
27,amazing phone within the discounted price of 1111 i would recommend everyone if you are looking to get the basics done alright and dont want to spend too much this is the right choice quality is not cheap like other phones in this budget however i do have one complaint as the phone down have a case in the box and no warranty card 1111 i am using this mobile for 5 days now best mobile for basic tasks like whatsapp call youtube etc i received it on 1111 sale at price 15k which is too good deal everyone appriciate its look working smooth and battery timing is too good  received brand new box packed mobile quality seems to be good performance is also fine excellent product original and value for money excellent mobile excellent service excellent response time to time thanks for everything recommended you all guys who are just thinking for buyingwant to give 10 stars am so glad to have this beautiful product received brand new box packed mobile quality seems to be good performance is also fine excellent product original and value for money many thanks daraz team and same specs as in description and mobile is very well its surprise gift to my mother and she is very happy after getting this  beautiful cell original honor x5 seal peck nice products nice quality fast delivery sir mene 1111 sale men lia ha wahan hbl bank se pay krne par 15000 ka show horha tha lekin mere ap ne 16609 kate ha ye kya msla ha mene hbl bank se he pay kia tha plz muje apny 1500 wapis karega thx delivery late mili hai muj koproduct is good aur daikhta hai ismaal kar k ab wase tu sahi lag raha hai mashallah bhoot acha phone ha or as price ma bhoot he best ha thanks bahi allah pak khouss rhky ap ko it is good but the final feedback should be given after the use of the product for a few weeks quality is awesome n in this price is the best option 100  genuine thanks to draz reached safely with outstanding paking beautiful set amazing product timely delivered highly recommend,Positive
28,recently acquired the infinix note 30  impressed with its overall performance the shipment exceeded expected delivery time though there was a color discrepancy ordered black received gray will share detailed performance feedback after more use appreciate daraz team for their service great phone and in same condition box packed sealed orrigional accessories everything is great but delivery was not good by leopard they tell that delivery is not in that area mashallah phone tu great ha budget friendly value for money packing company packing mei tha seal pack sound system jbl company ka ha sound la jawab ha 1010 for seller and for phone 108 thankyou alhamdulillah trading co for delivering phone fast and on time they delivered box packed genuine product businesses like alhamdulillah trading co are reason to trust ecommerce keep up the good work looking forward to do business again great phone and in same condition box packed sealed orrigional accessories everything is great but delivery was not good by leopard they tell that delivery is not in that area asslaam u alaikum  thanks to seller after my order i received phone in 50 hrs very fast service of daraz  selleri got phone in genuine conditiongod bless u brother very nice mobile infnix note 30 quality is amazing colour osam thanks draz appreciation for daraz and seller placed order and recieved in less than 24 hrs fast and safe delivery thumbs up  very good phone in this budget very sleek design good battery  graphics and performance best quality original product seller is cooperative delivery was on time product quality is as shown in the photos packing was not upto the mark seller is requested to properly pack the mobiles ill definitely buy from this seller in future main nay infinix note 30 horder kia black colour main ma sha allah bhut acha sat ha use krnay mei like this thanks to draz its a wonderful cell phone everything is in good condition packing is good recommended seller mashallah phone tu great ha budget friendly value for money packing company packing mei tha seal pack sound system jbl company ka ha sound la jawab ha 1010 for seller and for phone 108 mobile is fine but terrible delivery experience 1st they updated wrong status that address not found  after making multiple complaints i was asked to visit their office for order pickup  also had to visit twice bcz they were unable to find parcel on the 1st day of visit,Positive
29,aslamo alikum dear consumer buhat acha phone quality best ha sound level ha flash light bhi zabrdast bettry timing bhi kamal ki ha welljo ma ne blue colour order kia tha wo he mujhe received howa or fast service  delivery k sath or in ka rate kafi sallers se munasib or kam ha thanks you draz  sellers amazing product deliver on time working good using from a week good battery timing good display sound and call quality is awesome thanks daraz acha mobile ha 2 week se use kr rha seller bhe cooperative ha time py delever howa ha battery timing achi ha thanks daraz nice seller sent the exact phone thank you time py delever ho gaya jo mangwaya tha wohi aya thank you seller acha phone ha battery timing bhe achi ha speaker bhe thanks for daraz and seller nice phone thank you daraz bht hi acha mobile daraz ki service bi bht achi hai     ,Positive
30,mobile bht acha hy jesa dkhaya gia hy light on ni ho rhi btn loose ho gi hy shaid open krty hoy hm sy ho gia mbl condition is very very good seller service is very good me issakhel sy hoon or idhar delevry bht late aati hy 10 12 din me best mobile aor same cheez jo dekhiye gayi  thanks daraz and seller nice product and im stified thanks draz thanks saller                                thanks alot 1111 acha hai hand free 7 hoti to r b zaberdast hota boht acha mobile hey thank u daraz received same as ordered mobile acha gfive company ka hysirf headphone ka point nai overall set bht acha hy thank daraz and seller this is very good product in original pta approved thanks daraz good quality amazing  mobile phone thank you daraz very good nice product and im stified thanks draz thanks saller excellent than battery ki shape change thi  ,Positive
31,97 battery scratch less excellent condition just like new,Positive
32,very bad product bettry health is very bad within 2 days bettry health 80 sy 75 ai faulty iphone hy,Negative
33,intehai ghatia tareen mobile bhja h seller ny battery timing aik ghnta b ni veryyyy bad seller so happy to get so cute mbl and its same as shown in pic very satisfied yar pehle aik mangwaya tha who sahi tha is me masla he band hojaraha he very nice intehai ghatia tareen mobile bhja h seller ny battery timing aik ghnta b ni veryyyy bad seller yar pehle aik mangwaya tha who sahi tha is me masla he band hojaraha he         ,Positive
34,assalam u alaikum received before due date original productpacking was a little poor  but seller is coprativeit was my first purchase on installment happy to get it on 0 mark up the seller was very cooperative and delivered the phone in just 3 days upon my request the phone is just perfect and everything what i was looking for same as described amazing packing and received just in 2 days highly recommend the seller was very cooperative and delivered the phone in just 3 days upon my request the phone is just perfect and everything what i was looking for masha allah jo select kia tha wohi same received huwa hai aur bohat fast delivery hui hai thanks seller  received within two days same as shown in advertisement absolutely amazing product and 5 star to all service 1price 2genuine product 3daraz discount n vouchers 4 delivery time 5seller response 6bank voucher and installment on 0 percent markup all these things help me to get this amazing mobile at roughly 47000 which is less then market thanks all amd amazing daraz sale 1111 same as described amazing packing and received just in 2 days highly recommend jo mng waya tha wohi hai thnkz daraz original product and timely dilevered great packaging great product and received before the mentioned before delivery date the seller is so cooperative will definitely shop again from this seller thanks good product is as per specification and absolutely original received next day of ordering great response by seller  seller is highly recommended thanks and well done draz and seller v good seller shipped very fast original product received original phone everything was ok delivered on time,Positive
